,ID,CD_GEOCODIGO,TIPO,CD_GEOCODBA,NM_BAIRRO,CD_GEOCODSD,NM_SUBDISTRITO,CD_GEOCODDS,NM_DISTRITO,CD_GEOCODMU,NM_MUNICIPIO,NM_MICRO,NM_MESO,NM_UF,CD_NIVEL,CD_CATEGORIA,NM_CATEGORIA,NM_LOCALIDADE,LONG,LAT,ALT,GM_PONTO_sk
,13993,315680910000001,URBANO,,,31568091000,,315680910,EUXENITA,3156809,SABINÓPOLIS,GUANHÃES,VALE DO RIO DOCE,MINAS GERAIS,2,10,VILA,EUXENITA,-43.02817517,-18.54093794,743.395925,1J6ElOm:y_\>
,13994,315680915000001,URBANO,,,31568091500,,315680915,QUILOMBO,3156809,SABINÓPOLIS,GUANHÃES,VALE DO RIO DOCE,MINAS GERAIS,2,15,VILA,QUILOMBO,-43.1564514,-18.82129842,700.556196,1J6Em]iXrvRp
,13995,315690805000001,URBANO,,,31569080500,,315690805,SACRAMENTO,3156908,SACRAMENTO,ARAXÁ,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,MINAS GERAIS,1,05,CIDADE,SACRAMENTO,-47.43655532,-19.86357634,863.731688,1J6t.)<ZmL:-
,13996,315690805000038,RURAL,,,31569080500,,315690805,SACRAMENTO,3156908,SACRAMENTO,ARAXÁ,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,MINAS GERAIS,3,00001,NÚCLEO,VILA OPERADORES,-47.43194411,-20.03390296,566.08443,1J6t.\O.7wZ-
,13997,315690810000001,URBANO,,,31569081000,,315690810,DESEMBOQUE,3156908,SACRAMENTO,ARAXÁ,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,MINAS GERAIS,2,10,VILA,DESEMBOQUE,-47.02071186,-20.01528807,992.778427,"1J6t.BT,+:gf"
,13998,315690810000011,RURAL,,,31569081000,,315690810,DESEMBOQUE,3156908,SACRAMENTO,ARAXÁ,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,MINAS GERAIS,3,00003,POVOADO,SETE VOLTAS,-47.05535146,-20.16449674,1245.290762,1J6t.RJ:E\Sp
,13999,315690810000012,RURAL,,,31569081000,,315690810,DESEMBOQUE,3156908,SACRAMENTO,ARAXÁ,TRIÂNGULO MINEIRO/ALTO PARANAÍBA,MINAS GERAIS,3,00002,POVOADO,QUENTA SOL,-47.16427704,-20.11289462,1094.651945,1J6t.=yt^J4p
,14000,315700505000001,URBANO,,,31570050500,,315700505,SALINAS,3157005,SALINAS,SALINAS,NORTE DE MINAS,MINAS GERAIS,1,05,CIDADE,SALINAS,-42.29350647,-16.16985573,476.343903,1J6E]wdQ97lf
,14001,315700505000032,RURAL,,,31570050500,,315700505,SALINAS,3157005,SALINAS,SALINAS,NORTE DE MINAS,MINAS GERAIS,3,00010,POVOADO,CURRALINHO,-42.07522654,-16.11093892,598.285243,1J6E]yR9m^=-
,14002,315700505000036,RURAL,,,31570050500,,315700505,SALINAS,3157005,SALINAS,SALINAS,NORTE DE MINAS,MINAS GERAIS,3,00011,POVOADO,NOVA FÁTIMA,-42.07084103,-16.17434674,840.58986,1J6E]zdoXuv>
,14003,315700505000037,RURAL,,,31570050500,,315700505,SALINAS,3157005,SALINAS,SALINAS,NORTE DE MINAS,MINAS GERAIS,3,00009,POVOADO,VEREDA,-42.06541229,-16.23396255,874.239066,1J6E_78Dn9B-
