CIDADE;TEMPERATURA MÉDIA;ALT(M);LAT (º DEC.);LONG (ºdec);MÊS;ANO
Barra;27.5;407.5;11.1;43.1;3;2015
Barra;27.9;407.5;11.1;43.1;4;2015
Barra;26.7;407.5;11.1;43.1;5;2015
Barra;26.0;407.5;11.1;43.1;6;2015
Barra;26.0;407.5;11.1;43.1;7;2015
Barra;26.3;407.5;11.1;43.1;8;2015
Barra;29.1;407.5;11.1;43.1;9;2015
Barra;30.2;407.5;11.1;43.1;10;2015
Barra;30.6;407.5;11.1;43.1;11;2015
Barra;28.2;407.5;11.1;43.1;12;2015
Barra;26.2;407.5;11.1;43.1;1;2016
Barra;27.8;407.5;11.1;43.1;2;2016
Barra;27.9;407.5;11.1;43.1;3;2016
Barra;28.6;407.5;11.1;43.1;4;2016
Barra;27.7;407.5;11.1;43.1;5;2016
Barra;26.7;407.5;11.1;43.1;6;2016
Barra;25.5;407.5;11.1;43.1;7;2016
Barra;27.2;407.5;11.1;43.1;8;2016
Barra;28.2;407.5;11.1;43.1;9;2016
Barra;29.4;407.5;11.1;43.1;10;2016
Barra;28.3;407.5;11.1;43.1;11;2016
Barra;28.4;407.5;11.1;43.1;12;2016
Barra;29.5;407.5;11.1;43.1;1;2017
Barra;27.8;407.5;11.1;43.1;2;2017
Barra;27.5;407.5;11.1;43.1;3;2017
Barra;27.7;407.5;11.1;43.1;4;2017
Barra;28.0;407.5;11.1;43.1;5;2017
Barra;26.6;407.5;11.1;43.1;6;2017
Barra;24.5;407.5;11.1;43.1;7;2017
Barra;26.7;407.5;11.1;43.1;8;2017
Barra;27.2;407.5;11.1;43.1;9;2017
Barra;30.0;407.5;11.1;43.1;10;2017
Barra;28.5;407.5;11.1;43.1;11;2017
Barra;28.2;407.5;11.1;43.1;12;2017
Barra;28.8;407.5;11.1;43.1;1;2018
Barra;26.7;407.5;11.1;43.1;2;2018
Barra;26.9;407.5;11.1;43.1;3;2018
Barra;27.0;407.5;11.1;43.1;4;2018
Barra;27.0;407.5;11.1;43.1;5;2018
Barra;26.0;407.5;11.1;43.1;6;2018
Barra;25.3;407.5;11.1;43.1;7;2018
Barra;27.5;407.5;11.1;43.1;8;2018
Barra;29.1;407.5;11.1;43.1;9;2018
Barra;30.2;407.5;11.1;43.1;10;2018
Barra;29.6;407.5;11.1;43.1;11;2018
Barra;28.7;407.5;11.1;43.1;12;2018
Barra;27.8;407.5;11.1;43.1;1;2019
Barra;27.0;407.5;11.1;43.1;2;2019
Barra;26.7;407.5;11.1;43.1;3;2019
